  s l K1 K2 theta
  10  10  2.99040E-03  9.49037E-06 -3.63661E-01
  10  15  3.54189E-03  2.61596E-05 -8.46239E-01
  10  5  2.13770E-03  8.04448E-07 -4.31224E-02
  10  8  2.69947E-03  4.71457E-06 -2.00131E-01
  10  11  3.11854E-03  9.51007E-06 -3.49443E-01
  10  14  3.44723E-03  2.41250E-05 -8.01861E-01
  10  17  3.71223E-03  3.81135E-05 -1.17622E+00
  10  20  3.92980E-03  6.14361E-05 -1.79043E+00
  10  23  4.11347E-03  9.30799E-05 -2.58990E+00
  10  26  4.27288E-03  1.35119E-04 -3.61526E+00
  10  29  4.42162E-03  1.88068E-04 -4.85359E+00
  10  32  4.57367E-03  2.50588E-04 -6.23498E+00
  10  35  4.73236E-03  3.79769E-04 -9.06149E+00
  10  38  4.94451E-03  4.54045E-04 -1.03230E+01
  10  41  5.24397E-03  6.29100E-04 -1.33125E+01
  10  44  5.74012E-03  8.20999E-04 -1.56707E+01
  10  47  6.53983E-03  8.22614E-04 -1.39158E+01
  10  50  7.04318E-03 -1.29785E-05  2.11156E-01
  10  53  5.86174E-03 -1.12075E-03  2.02916E+01
  10  56  4.25428E-03 -1.37388E-03  3.06813E+01
  10  59  3.07788E-03 -1.25135E-03  3.57144E+01
  4  5  2.13652E-03  5.84139E-06 -3.13295E-01
  4  8  2.69683E-03  3.30858E-06 -1.40585E-01
  4  11  3.11242E-03  3.72364E-06 -1.37094E-01
  4  14  3.43782E-03  1.27745E-05 -4.25795E-01
  4  17  3.69920E-03  1.41904E-05 -4.39566E-01
  4  20  3.91244E-03  2.83149E-05 -8.29213E-01
  4  23  4.09098E-03  3.96467E-05 -1.11029E+00
  4  26  4.24545E-03  5.98527E-05 -1.61477E+00
  4  29  4.38513E-03  8.11089E-05 -2.11784E+00
  4  32  4.52163E-03  1.12537E-04 -2.84792E+00
  4  35  4.66874E-03  1.56358E-04 -3.82772E+00
  4  38  4.84804E-03  2.22634E-04 -5.23666E+00
  4  41  5.09958E-03  3.31646E-04 -7.38013E+00
  4  44  5.54530E-03  6.43682E-04 -1.29063E+01
  4  47  6.59370E-03  9.97006E-04 -1.64851E+01
  4  50  8.30967E-03  6.44942E-04 -8.77203E+00
  4  53  5.79088E-03 -1.98057E-03  3.19260E+01
  4  56  2.89172E-03 -1.44002E-03  4.01214E+01
  4  59  1.63946E-03 -9.51385E-04  4.33258E+01
  4  62  1.03600E-03 -6.44831E-04  4.47406E+01
  4  65  7.10188E-04 -4.74583E-04  4.61347E+01
  4  68  5.14686E-04 -3.54994E-04  4.67414E+01
  7  5  2.13711E-03  2.10396E-05 -1.12789E+00
  7  8  2.69732E-03 -4.08052E-07  1.73354E-02
  7  11  3.11620E-03 -1.30626E-05  4.80331E-01
  7  14  3.44096E-03  2.08056E-05 -6.92813E-01
  7  17  3.70420E-03  2.83719E-05 -8.77581E-01
  7  20  3.91899E-03  6.40637E-05 -1.87206E+00
  7  23  4.09999E-03  6.76375E-05 -1.88922E+00
  7  26  4.25496E-03  1.04276E-04 -2.80437E+00
  7  29  4.39974E-03  1.37534E-04 -3.57395E+00
  7  32  4.54123E-03  1.89616E-04 -4.76537E+00
  7  35  4.69591E-03  2.60964E-04 -6.32287E+00
  7  38  4.88956E-03  3.59001E-04 -8.31013E+00
  7  41  5.17141E-03  5.16541E-04 -1.11904E+01
  7  44  5.66275E-03  7.57344E-04 -1.47317E+01
  7  47  6.68203E-03  1.00529E-03 -1.64100E+01
  7  50  7.92388E-03  1.10997E-04 -1.60445E+00
  7  53  6.03332E-03 -1.46691E-03  2.47788E+01
  7  56  3.85223E-03 -1.49825E-03  3.47408E+01
  7  59  2.53262E-03 -1.20502E-03  3.91428E+01
  7  62  1.75035E-03 -9.33133E-04  4.15665E+01
  7  65  1.26834E-03 -7.26287E-04  4.30528E+01
  7  68  9.56274E-04 -5.74438E-04  4.40282E+01
  13  5  2.13797E-03  1.60735E-07 -8.61511E-03
  13  8  2.70140E-03  1.34731E-06 -5.71519E-02
  13  11  3.12310E-03  1.23083E-05 -4.51596E-01
  13  14  3.45412E-03  2.79226E-05 -9.26199E-01
  13  17  3.72227E-03  3.66523E-05 -1.12810E+00
  13  20  3.94379E-03  6.87084E-05 -1.99500E+00
  13  23  4.13062E-03  1.15299E-04 -3.19283E+00
  13  26  4.29526E-03  1.66409E-04 -4.42412E+00
  13  29  4.44760E-03  2.20770E-04 -5.65575E+00
  13  32  4.60302E-03  3.08923E-04 -7.61131E+00
  13  35  4.77565E-03  4.09346E-04 -9.65905E+00
  13  38  4.99375E-03  5.33765E-04 -1.19372E+01
  13  41  5.30891E-03  7.47014E-04 -1.54376E+01
  13  44  5.74759E-03  7.77145E-04 -1.48814E+01
  13  47  6.31912E-03  6.67259E-04 -1.17998E+01
  13  50  6.47368E-03 -7.10045E-05  1.25651E+00
  13  53  5.63043E-03 -8.94865E-04  1.72437E+01
  13  56  4.41003E-03 -1.20857E-03  2.72039E+01
  13  59  3.39811E-03 -1.19543E-03  3.25409E+01
  13  62  2.64677E-03 -1.07226E-03  3.56365E+01
  13  65  2.09877E-03 -9.32763E-04  3.76635E+01
  13  68  1.69613E-03 -7.96579E-04  3.88616E+01
  16  5  2.13802E-03  2.17681E-05 -1.16643E+00
  16  8  2.70398E-03  7.30955E-06 -3.09765E-01
  16  11  3.12806E-03  7.09972E-06 -2.60084E-01
  16  14  3.46335E-03  2.68581E-05 -8.88528E-01
  16  17  3.73504E-03  5.15001E-05 -1.57933E+00
  16  20  3.95879E-03  9.16233E-05 -2.64883E+00
  16  23  4.15127E-03  1.35650E-04 -3.73519E+00
  16  26  4.32064E-03  1.91147E-04 -5.04663E+00
  16  29  4.47875E-03  2.62063E-04 -6.65227E+00
  16  32  4.63705E-03  3.64803E-04 -8.88828E+00
  16  35  4.81413E-03  4.51798E-04 -1.05413E+01
  16  38  5.03927E-03  5.64920E-04 -1.24888E+01
  16  41  5.32979E-03  6.69586E-04 -1.38998E+01
  16  44  5.70916E-03  6.95542E-04 -1.35062E+01
  16  47  6.07793E-03  4.78359E-04 -8.89190E+00
  16  50  6.07147E-03 -1.01498E-04  1.91439E+00
  16  53  5.41413E-03 -7.33168E-04  1.49023E+01
  16  56  4.45815E-03 -1.04979E-03  2.41499E+01
  16  59  3.57699E-03 -1.07587E-03  2.91575E+01
  16  62  2.90287E-03 -1.03751E-03  3.28871E+01
  16  65  2.37272E-03 -9.30366E-04  3.49197E+01
